"Notes"	"State"	"State Code"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"25-34 years"	"25-34"	10	58299	Unreliable
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"25-34 years"	"25-34"	55	188445	29.19
	"Alabama"	"01"	"Blount County, AL"	"01009"	"25-34 years"	"25-34"	21	61907	33.92
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"25-34 years"	"25-34"	40	133366	29.99
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"25-34 years"	"25-34"	11	23656	Unreliable
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"25-34 years"	"25-34"	15	50893	Unreliable
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"25-34 years"	"25-34"	22	87045	25.27
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	"25-34 years"	"25-34"	15	80239	Unreliable
	"Alabama"	"01"	"Elmore County, AL"	"01051"	"25-34 years"	"25-34"	16	94165	Unreliable
	"Alabama"	"01"	"Etowah County, AL"	"01055"	"25-34 years"	"25-34"	36	109611	32.84
	"Alabama"	"01"	"Houston County, AL"	"01069"	"25-34 years"	"25-34"	24	115644	20.75
	"Alabama"	"01"	"Jackson County, AL"	"01071"	"25-34 years"	"25-34"	10	53373	Unreliable
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"25-34 years"	"25-34"	294	840941	34.96
	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	"25-34 years"	"25-34"	15	93469	Unreliable
	"Alabama"	"01"	"Lawrence County, AL"	"01079"	"25-34 years"	"25-34"	10	34445	Unreliable
	"Alabama"	"01"	"Lee County, AL"	"01081"	"25-34 years"	"25-34"	17	175352	Unreliable
	"Alabama"	"01"	"Limestone County, AL"	"01083"	"25-34 years"	"25-34"	17	98877	Unreliable
	"Alabama"	"01"	"Madison County, AL"	"01089"	"25-34 years"	"25-34"	60	394384	15.21
	"Alabama"	"01"	"Marshall County, AL"	"01095"	"25-34 years"	"25-34"	24	102682	23.37
	"Alabama"	"01"	"Mobile County, AL"	"01097"	"25-34 years"	"25-34"	94	484444	19.40
	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"25-34 years"	"25-34"	40	294360	13.59
	"Alabama"	"01"	"Morgan County, AL"	"01103"	"25-34 years"	"25-34"	42	133228	31.52
	"Alabama"	"01"	"Russell County, AL"	"01113"	"25-34 years"	"25-34"	14	69832	Unreliable
	"Alabama"	"01"	"St. Clair County, AL"	"01115"	"25-34 years"	"25-34"	44	99886	44.05
	"Alabama"	"01"	"Shelby County, AL"	"01117"	"25-34 years"	"25-34"	70	241896	28.94
	"Alabama"	"01"	"Talladega County, AL"	"01121"	"25-34 years"	"25-34"	20	89831	22.26
	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	"25-34 years"	"25-34"	73	233600	31.25
	"Alabama"	"01"	"Walker County, AL"	"01127"	"25-34 years"	"25-34"	65	69403	93.66
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	"25-34 years"	"25-34"	100	409682	24.41
	"Alaska"	"02"	"Fairbanks North Star Borough, AK"	"02090"	"25-34 years"	"25-34"	20	147744	13.54
	"Alaska"	"02"	"Juneau Borough, AK"	"02110"	"25-34 years"	"25-34"	14	39370	Unreliable
	"Alaska"	"02"	"Kenai Peninsula Borough, AK"	"02122"	"25-34 years"	"25-34"	20	56378	35.47
	"Alaska"	"02"	"Matanuska-Susitna Borough, AK"	"02170"	"25-34 years"	"25-34"	27	103230	26.16
	"Arizona"	"04"	"Apache County, AZ"	"04001"	"25-34 years"	"25-34"	10	70149	Unreliable
	"Arizona"	"04"	"Cochise County, AZ"	"04003"	"25-34 years"	"25-34"	24	145213	16.53
	"Arizona"	"04"	"Coconino County, AZ"	"04005"	"25-34 years"	"25-34"	34	159402	21.33
	"Arizona"	"04"	"Gila County, AZ"	"04007"	"25-34 years"	"25-34"	14	40559	Unreliable
	"Arizona"	"04"	"Graham County, AZ"	"04009"	"25-34 years"	"25-34"	15	46948	Unreliable
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"25-34 years"	"25-34"	971	4998872	19.42
	"Arizona"	"04"	"Mohave County, AZ"	"04015"	"25-34 years"	"25-34"	66	169779	38.87
	"Arizona"	"04"	"Navajo County, AZ"	"04017"	"25-34 years"	"25-34"	47	106612	44.09
	"Arizona"	"04"	"Pima County, AZ"	"04019"	"25-34 years"	"25-34"	333	1133856	29.37
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"25-34 years"	"25-34"	72	465521	15.47
	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	"25-34 years"	"25-34"	70	168296	41.59
	"Arizona"	"04"	"Yuma County, AZ"	"04027"	"25-34 years"	"25-34"	24	219519	10.93
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"25-34 years"	"25-34"	15	32316	Unreliable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"25-34 years"	"25-34"	48	291719	16.45
